starter_player_name,Full Name
J.Brissett,Jacoby Brissett
K.Murray,Kyler Murray
M.Penix,Michael Penix
K.Cousins,Kirk Cousins
L.Jackson,Lamar Jackson
T.Huntley,Tyler Huntley
C.Rush,Cooper Rush
J.Allen,Josh Allen
M.Trubisky,Mitch Trubisky
B.Young,Bryce Young
A.Dalton,Andy Dalton
C.Williams,Caleb Williams
J.Burrow,Joe Burrow
J.Flacco,Joe Flacco
J.Browning,Josh Browning
S.Sanders,Shedeur Sanders
D.Gabriel,Dillon Gabriel
D.Prescott,Dak Prescott
B.Nix,Bo Nix
J.Goff,Jared Goff
J.Love,Jordan Love
M.Willis,Malik Willis
C.Tune,Clayton Tune
C.Stroud,CJ Stroud
D.Mills,Davis Mills
D.Jones,Daniel Jones
P.Rivers,Phillip Rivers
R.Leonard,Riley Leonard
T.Lawrence,Trevor Lawrence
P.Mahomes,Patrick Mahomes
C.Oladokun,Chris Oladokun
G.Minshew,Gardner Minshew
M.Stafford,Matthew Stafford
J.Herbert,Justin Herbert
T.Lance,Trey Lance
G.Smith,Geno Smith
K.Pickett,Kenny Pickett
T.Tagovailoa,Tua Tagovailoa
Q.Ewers,Quinn Ewers
J.McCarthy,JJ McCarthy
C.Wentz,Carson Wentz
M.Brosmer,Max Brosmer
D.Maye,Drake Maye
T.Shough,Tyler Shough
S.Rattler,Spencer Rattler
J.Dart,Jaxson Dart
R.Wilson,Russell Wilson
J.Winston,Jameis Winston
J.Fields,Justin Fields
B.Cook,Brady Cook
T.Taylor,Tyrod Taylore
J.Hurts,Jalen Hurts
T.McKee,Tanner McKee
A.Rodgers,Aaron Rodgers
M.Rudolph,Mason Rudolph
S.Darnold,Sam Darnold
B.Purdy,Brock Purdy
M.Jones,Mac Jones
B.Mayfield,Baker Mayfield
C.Ward,Cam Ward
M.Mariota,Marcus Mariota
J.Daniels,Jayden Daniels
J.Johnson,Josh Johnson
C.Beck,Carson Beck
F.Mendoza,Fernando Mendoza
