team,power_pts,off_pts,def_pts
Notre Dame,32.05,16.15,15.899999999999999
Ohio State,27.62,9.52,18.1
Texas Tech,25.22,10.89,14.329999999999998
Oregon,25.03,13.28,11.750000000000002
Georgia,24.45,10.46,13.989999999999998
Ole Miss,23.95,13.03,10.92
Indiana,23.35,9.03,14.320000000000002
Penn State,21.36,10.8,10.559999999999999
Texas,21.35,10.03,11.320000000000002
Texas A&M,21.29,11.09,10.2
Tennessee,19.41,15.88,3.5299999999999994
USC,18.43,11.35,7.08
Michigan,17.1,7.05,10.05
Utah,15.94,6.74,9.2
Alabama,15.9,3.5,12.4
SMU,15.67,8.5,7.17
Oklahoma,15.13,2.13,13
Miami,14.28,3.95,10.329999999999998
Washington,13.63,3.48,10.15
LSU,13.21,-0.86,14.07
South Carolina,12.79,2.96,9.829999999999998
BYU,11.82,3.75,8.07
Nebraska,11.54,3.95,7.589999999999999
Iowa,10.19,1.82,8.37
Virginia,9.8,3.22,6.58
Clemson,9.32,0.61,8.71
Missouri,9.17,4.08,5.09
Kansas State,8.83,7.17,1.6600000000000001
Auburn,8.66,0.46,8.2
Arizona State,8.52,0.91,7.609999999999999
Vanderbilt,7.96,7.79,0.16999999999999993
Arizona,7.91,4.08,3.83
Florida,7.7,-0.8,8.5
Air Force,7.65,5.75,1.9000000000000004
Arkansas,7.33,11.75,-4.42
Pittsburgh,7.27,6.99,0.27999999999999936
South Florida,7.24,9.66,-2.42
Florida State,7.13,4.48,2.6499999999999995
Cincinnati,6.56,3.99,2.5699999999999994
Memphis,5.77,4.76,1.0099999999999998
Louisville,5.45,0.98,4.470000000000001
James Madison,5.17,6.36,-1.1900000000000004
Minnesota,5.15,-0.97,6.12
Iowa State,4.9,-1.23,6.130000000000001
Wisconsin,4.71,-5.46,10.17
TCU,4,2.16,1.8399999999999999
Kansas,3.6,2.19,1.4100000000000001
Colorado,3.47,1.82,1.6500000000000001
Baylor,3.45,7.19,-3.74
Army,3.31,-1.69,5
Virginia Tech,3.13,0.21,2.92
North Texas,2.96,3.72,-0.7600000000000002
Boise State,2.93,2.41,0.52
Houston,2.85,1.42,1.4300000000000002
Navy,2.82,0.38,2.44
UCLA,2.42,4.36,-1.9400000000000004
Duke,2.39,5.54,-3.15
UCF,2.38,-3.87,6.25
San Diego State,2.31,-3.56,5.87
Illinois,2.08,2.32,-0.23999999999999977
UNLV,2,5.46,-3.46
Northwestern,1.96,-4.09,6.05
Kentucky,1.74,-2.72,4.46
Georgia Tech,1.62,0.89,0.7300000000000001
UTSA,1.57,7.43,-5.859999999999999
Maryland,0.88,-1.61,2.49
NC State,0.85,5.69,-4.840000000000001
Texas State,0.67,11.73,-11.06
North Dakota State,0.37,0.87,-0.5
Wake Forest,0.2,-4.68,4.88
Mississippi State,0.06,3.31,-3.25
New Mexico,-0.74,-2.17,1.43
