team,cfbfastr_team,team_id,conference,mascot,logo_path,logo_filename,logo_url,logo_status,logo_width,logo_height,logo_bytes
Air Force,Air Force Falcons,2005,Mountain West,Falcons,assets/team_logos/air-force.png,air-force.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,downloaded,500,500,11947
Akron,Akron Zips,2006,Mid-American,Zips,assets/team_logos/akron.png,akron.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,downloaded,500,500,31001
Alabama,Alabama Crimson Tide,333,SEC,Crimson Tide,assets/team_logos/alabama.png,alabama.png,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,downloaded,500,500,28627
App State,Appalachian State Mountaineers,2026,Sun Belt,Mountaineers,assets/team_logos/app-state.png,app-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,downloaded,500,500,31178
Arizona,Arizona Wildcats,12,Big 12,Wildcats,assets/team_logos/arizona.png,arizona.png,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,downloaded,500,500,30011
Arizona State,Arizona State Sun Devils,9,Big 12,Sun Devils,assets/team_logos/arizona-state.png,arizona-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,downloaded,500,500,55459
Arkansas,Arkansas Razorbacks,8,SEC,Razorbacks,assets/team_logos/arkansas.png,arkansas.png,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,downloaded,500,500,51766
Arkansas State,Arkansas State Red Wolves,2032,Sun Belt,Red Wolves,assets/team_logos/arkansas-state.png,arkansas-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,downloaded,500,500,64255
Army,Army Black Knights,349,American Athletic,Black Knights,assets/team_logos/army.png,army.png,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,downloaded,500,500,95774
Auburn,Auburn Tigers,2,SEC,Tigers,assets/team_logos/auburn.png,auburn.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,downloaded,500,500,34169
BYU,BYU Cougars,252,Big 12,Cougars,assets/team_logos/byu.png,byu.png,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,downloaded,500,500,22214
Ball State,Ball State Cardinals,2050,Mid-American,Cardinals,assets/team_logos/ball-state.png,ball-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,downloaded,500,500,47071
Baylor,Baylor Bears,239,Big 12,Bears,assets/team_logos/baylor.png,baylor.png,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,downloaded,500,500,8734
Boise State,Boise State Broncos,68,Mountain West,Broncos,assets/team_logos/boise-state.png,boise-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,downloaded,500,500,83030
Boston College,Boston College Eagles,103,ACC,Eagles,assets/team_logos/boston-college.png,boston-college.png,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,downloaded,500,500,78165
Bowling Green,Bowling Green Falcons,189,Mid-American,Falcons,assets/team_logos/bowling-green.png,bowling-green.png,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,downloaded,500,500,44675
Buffalo,Buffalo Bulls,2084,Mid-American,Bulls,assets/team_logos/buffalo.png,buffalo.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,downloaded,500,500,26255
California,California Golden Bears,25,ACC,Golden Bears,assets/team_logos/california.png,california.png,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,downloaded,500,500,27091
Central Michigan,Central Michigan Chippewas,2117,Mid-American,Chippewas,assets/team_logos/central-michigan.png,central-michigan.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,downloaded,500,500,31244
Charlotte,Charlotte 49ers,2429,American Athletic,49ers,assets/team_logos/charlotte.png,charlotte.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,downloaded,500,500,14185
Cincinnati,Cincinnati Bearcats,2132,Big 12,Bearcats,assets/team_logos/cincinnati.png,cincinnati.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,downloaded,500,500,13813
Clemson,Clemson Tigers,228,ACC,Tigers,assets/team_logos/clemson.png,clemson.png,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,downloaded,500,500,31411
Coastal Carolina,Coastal Carolina Chanticleers,324,Sun Belt,Chanticleers,assets/team_logos/coastal-carolina.png,coastal-carolina.png,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,downloaded,500,500,79116
Colorado,Colorado Buffaloes,38,Big 12,Buffaloes,assets/team_logos/colorado.png,colorado.png,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,downloaded,500,500,40490
Colorado State,Colorado State Rams,36,Mountain West,Rams,assets/team_logos/colorado-state.png,colorado-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,downloaded,500,500,97145
Connecticut,Connecticut Huskies,41,FBS Independents,Huskies,assets/team_logos/connecticut.png,connecticut.png,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,downloaded,500,500,83870
Delaware,Delaware Blue Hens,48,CAA,Blue Hens,assets/team_logos/delaware.png,delaware.png,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,downloaded,500,500,78004
Duke,Duke Blue Devils,150,ACC,Blue Devils,assets/team_logos/duke.png,duke.png,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,downloaded,500,500,8536
East Carolina,East Carolina Pirates,151,American Athletic,Pirates,assets/team_logos/east-carolina.png,east-carolina.png,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,downloaded,500,500,113125
Eastern Michigan,Eastern Michigan Eagles,2199,Mid-American,Eagles,assets/team_logos/eastern-michigan.png,eastern-michigan.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,downloaded,500,500,3367
Florida,Florida Gators,57,SEC,Gators,assets/team_logos/florida.png,florida.png,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,downloaded,500,500,97010
Florida Atlantic,Florida Atlantic Owls,2226,American Athletic,Owls,assets/team_logos/florida-atlantic.png,florida-atlantic.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,downloaded,500,500,63246
Florida InternationaL,Florida International Golden Panthers,2229,Conference USA,Golden Panthers,assets/team_logos/florida-international.png,florida-international.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,downloaded,500,500,78485
Florida State,Florida State Seminoles,52,ACC,Seminoles,assets/team_logos/florida-state.png,florida-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,downloaded,500,500,103928
Fresno State,Fresno State Bulldogs,278,Mountain West,Bulldogs,assets/team_logos/fresno-state.png,fresno-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,downloaded,500,500,103036
Georgia,Georgia Bulldogs,61,SEC,Bulldogs,assets/team_logos/georgia.png,georgia.png,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,downloaded,500,500,31505
Georgia Southern,Georgia Southern Eagles,290,Sun Belt,Eagles,assets/team_logos/georgia-southern.png,georgia-southern.png,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,downloaded,500,500,89418
Georgia State,Georgia State Panthers,2247,Sun Belt,Panthers,assets/team_logos/georgia-state.png,georgia-state.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,downloaded,500,500,54850
Georgia Tech,Georgia Tech Yellow Jackets,59,ACC,Yellow Jackets,assets/team_logos/georgia-tech.png,georgia-tech.png,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,downloaded,500,500,26659
Hawai'i,Hawaii Rainbow Warriors,62,Mountain West,Rainbow Warriors,assets/team_logos/hawaii.png,hawaii.png,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,downloaded,500,500,53737
Houston,Houston Cougars,248,Big 12,Cougars,assets/team_logos/houston.png,houston.png,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,downloaded,500,500,11597
Illinois,Illinois Fighting Illini,356,Big Ten,Fighting Illini,assets/team_logos/illinois.png,illinois.png,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,downloaded,500,500,4306
Indiana,Indiana Hoosiers,84,Big Ten,Hoosiers,assets/team_logos/indiana.png,indiana.png,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,downloaded,500,500,5252
Iowa,Iowa Hawkeyes,2294,Big Ten,Hawkeyes,assets/team_logos/iowa.png,iowa.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,downloaded,500,500,12129
