run_date,rank,sport,keyword,volume,latest_month_volume,mom_change,three_month_vs_prior,six_month_vs_prior,api_trend,peak_month_volume,opportunity_score,source_seeds,hashtags,suggested_title,suggested_opening
2026-09-21,1,NFL,nfl power rankings 2026,5300.0,32400.0,1.7226890756302522,3.7454545454545456,26.359307359307362,48.09,32400.0,77.1,nfl power rankings,#NflPowerRankings2026 #NFL #NFLFootball #Football #SportsAnalytics,Nfl Power Rankings 2026: Data-Driven Breakdown,"If you're searching for nfl power rankings 2026, here's what our model says and where it differs from the market."
2026-09-21,2,NFL,nfl predictions preseason,2400.0,21700.0,69.0,78.0,5.588235294117648,24.53,21700.0,73.6,nfl predictions,#NflPredictionsPreseason #NFL #NFLFootball #Football #SportsAnalytics,Nfl Predictions Preseason: What Our Model Says,"If you're searching for nfl predictions preseason, here's what our model says and where it differs from the market."
2026-09-21,3,NFL,nfl predictions 2026,1900.0,11900.0,2.4,3.6965699208443272,18.627272727272725,55.67,11900.0,73.0,nfl predictions,#NflPredictions2026 #NFL #NFLFootball #Football #SportsAnalytics,Nfl Predictions 2026: What Our Model Says,"If you're searching for nfl predictions 2026, here's what our model says and where it differs from the market."
2026-09-21,4,CFB,cfb rankings,360000.0,32400.0,3.1012658227848102,2.343511450381679,-0.9859151443140749,-0.93,1795000.0,72.0,cfb rankings,#CfbRankings #CollegeFootball #CFB #Football #SportsAnalytics,Cfb Rankings: Data-Driven Breakdown,"If you're searching for cfb rankings, here's what our model says and where it differs from the market."
2026-09-21,5,NFL,nfl power rankings,197000.0,72100.0,2.3225806451612905,1.0666666666666667,-0.9329500364401976,-0.87,655000.0,71.2,nfl power rankings,#NflPowerRankings #NFL #NFLFootball #Football #SportsAnalytics,Nfl Power Rankings: Data-Driven Breakdown,"If you're searching for nfl power rankings, here's what our model says and where it differs from the market."
2026-09-21,6,NFL,nfl picks for today,32400.0,11900.0,55.666666666666664,1.787330316742082,-0.9500298507462687,-0.87,88400.0,69.9,nfl picks,#NflPicksForToday #NFL #NFLFootball #Football #SportsAnalytics,Nfl Picks For Today — Model-Based Breakdown,"If you're searching for nfl picks for today, here's what our model says and where it differs from the market."
2026-09-21,7,NFL,nfl 2026 draft,655000.0,132000.0,1.2259696458684655,-0.9611217712177121,6.959289833766821,2.33,5988000.0,69.7,nfl 2026,#Nfl2026Draft #NFL #NFLFootball #Football #SportsAnalytics,Nfl 2026 Draft: Data-Driven Breakdown,"If you're searching for nfl 2026 draft, here's what our model says and where it differs from the market."
2026-09-21,8,NFL,nfl draft 2026,655000.0,132000.0,1.2259696458684655,-0.9611217712177121,6.959289833766821,2.33,5988000.0,69.7,nfl,#NflDraft2026 #NFL #NFLFootball #Football #SportsAnalytics,Nfl Draft 2026: Data-Driven Breakdown,"If you're searching for nfl draft 2026, here's what our model says and where it differs from the market."
2026-09-21,9,NFL,nfl win totals 2026,580.0,2900.0,1.9,1.0266666666666666,13.1875,289.0,2900.0,69.6,nfl win totals,#NflWinTotals2026 #NFL #NFLFootball #Football #SportsAnalytics,Nfl Win Totals 2026: Data-Driven Breakdown,"If you're searching for nfl win totals 2026, here's what our model says and where it differs from the market."
2026-09-21,10,NFL,nfl picks today,32400.0,11900.0,55.666666666666664,1.787330316742082,-0.9500298507462687,-0.87,88400.0,67.9,nfl picks,#NflPicksToday #NFL #NFLFootball #Football #SportsAnalytics,Nfl Picks Today — Model-Based Breakdown,"If you're searching for nfl picks today, here's what our model says and where it differs from the market."
2026-09-21,11,NFL,nfl 2026 predictions,850.0,3500.0,1.1875,1.2452830188679245,5.771653543307086,30.82,3500.0,67.6,nfl 2026,#Nfl2026Predictions #NFL #NFLFootball #Football #SportsAnalytics,Nfl 2026 Predictions: Data-Driven Breakdown,"If you're searching for nfl 2026 predictions, here's what our model says and where it differs from the market."
2026-09-21,12,NFL,nfl predictions for today,9700.0,5300.0,36.857142857142854,6.746478873239436,-0.9481203007518797,-0.76,26500.0,67.4,nfl predictions,#NflPredictionsForToday #NFL #NFLFootball #Football #SportsAnalytics,Nfl Predictions For Today: What Our Model Says,"If you're searching for nfl predictions for today, here's what our model says and where it differs from the market."
2026-09-21,13,CFB,college football picks,21700.0,9700.0,15.724137931034482,4.0669856459330145,-0.9534337128167462,-0.87,88400.0,67.3,college football picks,#CollegeFootballPicks #CollegeFootball #CFB #Football #SportsAnalytics,College Football Picks — Model-Based Breakdown,"If you're searching for college football picks, here's what our model says and where it differs from the market."
2026-09-21,14,NFL,nfl picks draft,32400.0,2900.0,0.8125,-0.9792342634652823,7.642857142857143,-0.55,295000.0,66.5,nfl picks,#NflPicksDraft #NFL #NFLFootball #Football #SportsAnalytics,Nfl Picks Draft — Model-Based Breakdown,"If you're searching for nfl picks draft, here's what our model says and where it differs from the market."
2026-09-21,15,NFL,nfl picks week 1,7900.0,5300.0,7.03030303030303,10.61111111111111,-0.9249421360079356,-0.94,88400.0,66.5,nfl picks,#NflPicksWeek1 #NFL #NFLFootball #Football #SportsAnalytics,Nfl Picks Week 1 — Model-Based Breakdown,"If you're searching for nfl picks week 1, here's what our model says and where it differs from the market."
2026-09-21,16,NFL,nfl picks week one,7900.0,5300.0,7.03030303030303,10.61111111111111,-0.9249421360079356,-0.94,88400.0,66.5,nfl picks,#NflPicksWeekOne #NFL #NFLFootball #Football #SportsAnalytics,Nfl Picks Week One — Model-Based Breakdown,"If you're searching for nfl picks week one, here's what our model says and where it differs from the market."
2026-09-21,17,CFB,week 1 cfb predictions,70.0,660.0,12.2,23.666666666666664,3.0526315789473686,3.71,660.0,66.3,cfb predictions,#Week1CfbPredictions #CollegeFootball #CFB #Football #SportsAnalytics,Week 1 Cfb Predictions: Data-Driven Breakdown,"If you're searching for week 1 cfb predictions, here's what our model says and where it differs from the market."
2026-09-21,18,NFL,nfl predictions record,310.0,1200.0,1.0689655172413792,3.29090909090909,3.6935483870967745,2.87,1200.0,66.2,nfl predictions,#NflPredictionsRecord #NFL #NFLFootball #Football #SportsAnalytics,Nfl Predictions Record: What Our Model Says,"If you're searching for nfl predictions record, here's what our model says and where it differs from the market."
2026-09-21,19,NFL,week 1 nfl predictions,5300.0,5300.0,7.03030303030303,14.55,-0.756169429097606,-0.8,26500.0,66.1,nfl predictions,#Week1NflPredictions #NFL #NFLFootball #Football #SportsAnalytics,Week 1 Nfl Predictions: Data-Driven Breakdown,"If you're searching for week 1 nfl predictions, here's what our model says and where it differs from the market."
