field,description,data_type,source
aborted_play,"Binary indicator if the play description indicates ""Aborted"".",,nflfastR::field_descriptions
air_epa,EPA from the air yards alone. For completions this represents the actual value provided through the air. For incompletions this represents the hypothetical value that could've been added through the air if the pass was completed.,,nflfastR::field_descriptions
air_wpa,WPA through the air (same logic as air_epa).,,nflfastR::field_descriptions
air_yards,Numeric value for distance in yards perpendicular to the line of scrimmage at where the targeted receiver either caught or didn't catch the ball.,,nflfastR::field_descriptions
assist_tackle,Binary indicator for if an assist tackle occurred.,,nflfastR::field_descriptions
assist_tackle_1_player_id,Unique identifier of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_1_player_name,String name of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_1_team,Team of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_2_player_id,Unique identifier of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_2_player_name,String name of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_2_team,Team of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_3_player_id,Unique identifier of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_3_player_name,String name of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_3_team,Team of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_4_player_id,Unique identifier of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_4_player_name,String name of one of the players with a tackle assist.,,nflfastR::field_descriptions
assist_tackle_4_team,Team of one of the players with a tackle assist.,,nflfastR::field_descriptions
away_coach,First and last name of the away team coach. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
away_score,Total points scored by the away team.,,nflfastR::field_descriptions
away_team,String abbreviation for the away team.,,nflfastR::field_descriptions
away_timeouts_remaining,Numeric timeouts remaining in the half for the away team.,,nflfastR::field_descriptions
away_wp,Estimated win probability for the away team.,,nflfastR::field_descriptions
away_wp_post,Estimated win probability for the away team at the end of the play.,,nflfastR::field_descriptions
blocked_player_id,Unique identifier for the player that blocked the punt or FG.,,nflfastR::field_descriptions
blocked_player_name,String name for the player that blocked the punt or FG.,,nflfastR::field_descriptions
comp_air_epa,EPA from the air yards alone only for completions.,,nflfastR::field_descriptions
comp_air_wpa,The air_wpa for completions only.,,nflfastR::field_descriptions
comp_yac_epa,EPA from the yards after catch alone only for completions.,,nflfastR::field_descriptions
comp_yac_wpa,The yac_wpa for completions only.,,nflfastR::field_descriptions
complete_pass,Binary indicator for if the pass was completed.,,nflfastR::field_descriptions
cp,Numeric value indicating the probability for a complete pass based on comparable game situations.,,nflfastR::field_descriptions
cpoe,For a single pass play this is 1 - cp when the pass was completed or 0 - cp when the pass was incomplete. Analyzed for a whole game or season an indicator for the passer how much over or under expectation his completion percentage was.,,nflfastR::field_descriptions
def_wp,Estimated win probability for the defteam.,,nflfastR::field_descriptions
defensive_extra_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on an extra point attempt, this results following a blocked attempt that the defense recovers the ball.",,nflfastR::field_descriptions
defensive_extra_point_conv,Binary indicator whether or not the defense successfully scored on an extra point attempt.,,nflfastR::field_descriptions
defensive_two_point_attempt,"Binary indicator whether or not the defense was able to have an attempt on a two point conversion, this results following a turnover.",,nflfastR::field_descriptions
defensive_two_point_conv,Binary indicator whether or not the defense successfully scored on the two point conversion.,,nflfastR::field_descriptions
defteam,String abbreviation for the team on defense.,,nflfastR::field_descriptions
defteam_score,Score the defteam at the start of the play.,,nflfastR::field_descriptions
defteam_score_post,Score for the defteam at the end of the play.,,nflfastR::field_descriptions
defteam_timeouts_remaining,Number of timeouts remaining for the team on defense.,,nflfastR::field_descriptions
desc,Detailed string description for the given play.,,nflfastR::field_descriptions
div_game,Binary indicator for if the given game was a division game.,,nflfastR::field_descriptions
down,The down for the given play.,,nflfastR::field_descriptions
drive,Numeric drive number in the game.,,nflfastR::field_descriptions
drive_end_transition,String indicating how the offense lost the ball.,,nflfastR::field_descriptions
drive_end_yard_line,String indicating where a given drive ended consisting of team half and yard line number.,,nflfastR::field_descriptions
drive_ended_with_score,Binary indicator the drive ended with a score.,,nflfastR::field_descriptions
drive_first_downs,Number of first downs in a given drive.,,nflfastR::field_descriptions
drive_game_clock_end,Game time at the end of a given drive.,,nflfastR::field_descriptions
drive_game_clock_start,Game time at the beginning of a given drive.,,nflfastR::field_descriptions
drive_inside20,Binary indicator if the offense was able to get inside the opponents 20 yard line.,,nflfastR::field_descriptions
drive_play_count,Numeric value of how many regular plays happened in a given drive.,,nflfastR::field_descriptions
drive_play_id_ended,Play_id of the last play in the given drive.,,nflfastR::field_descriptions
