game_id,week,team,starter_player_id,starter_player_name,first_qb_play_id,qb_play_count,total_qb_identified_plays,starter_qb_play_share
2025_01_ARI_NO,1,ARI,00-0035228,K.Murray,85.0,37,37,1.0
2025_01_TB_ATL,1,ATL,00-0039917,M.Penix,63.0,48,48,1.0
2025_01_BAL_BUF,1,BAL,00-0034796,L.Jackson,358.0,22,22,1.0
2025_01_BAL_BUF,1,BUF,00-0034857,J.Allen,67.0,58,58,1.0
2025_01_CAR_JAX,1,CAR,00-0039150,B.Young,545.0,41,41,1.0
2025_01_MIN_CHI,1,CHI,00-0039918,C.Williams,171.0,43,43,1.0
2025_01_CIN_CLE,1,CIN,00-0036442,J.Burrow,63.0,28,28,1.0
2025_01_CIN_CLE,1,CLE,00-0026158,J.Flacco,474.0,48,48,1.0
2025_01_DAL_PHI,1,DAL,00-0033077,D.Prescott,141.0,35,35,1.0
2025_01_TEN_DEN,1,DEN,00-0039732,B.Nix,306.0,45,45,1.0
2025_01_DET_GB,1,DET,00-0033106,J.Goff,468.0,44,44,1.0
2025_01_DET_GB,1,GB,00-0036264,J.Love,101.0,24,24,1.0
2025_01_HOU_LA,1,HOU,00-0039163,C.Stroud,114.0,34,34,1.0
2025_01_MIA_IND,1,IND,00-0035710,D.Jones,63.0,33,33,1.0
2025_01_CAR_JAX,1,JAX,00-0036971,T.Lawrence,63.0,35,35,1.0
2025_01_KC_LAC,1,KC,00-0033873,P.Mahomes,123.0,48,48,1.0
2025_01_HOU_LA,1,LA,00-0026498,M.Stafford,209.0,34,34,1.0
2025_01_KC_LAC,1,LAC,00-0036355,J.Herbert,171.0,44,44,1.0
2025_01_LV_NE,1,LV,00-0030565,G.Smith,63.0,40,40,1.0
2025_01_MIA_IND,1,MIA,00-0036212,T.Tagovailoa,340.0,28,37,0.7568
2025_01_MIN_CHI,1,MIN,00-0039923,J.McCarthy,91.0,26,26,1.0
2025_01_LV_NE,1,NE,00-0039851,D.Maye,280.0,53,53,1.0
2025_01_ARI_NO,1,NO,00-0039376,S.Rattler,243.0,49,49,1.0
2025_01_NYG_WAS,1,NYG,00-0029263,R.Wilson,291.0,45,45,1.0
2025_01_PIT_NYJ,1,NYJ,00-0036945,J.Fields,151.0,26,26,1.0
2025_01_DAL_PHI,1,PHI,00-0036389,J.Hurts,330.0,36,36,1.0
2025_01_PIT_NYJ,1,PIT,00-0023459,A.Rodgers,314.0,35,35,1.0
2025_01_SF_SEA,1,SEA,00-0034869,S.Darnold,67.0,25,25,1.0
2025_01_SF_SEA,1,SF,00-0037834,B.Purdy,224.0,41,41,1.0
2025_01_TB_ATL,1,TB,00-0034855,B.Mayfield,188.0,38,38,1.0
2025_01_TEN_DEN,1,TEN,00-0040676,C.Ward,105.0,34,34,1.0
2025_01_NYG_WAS,1,WAS,00-0039910,J.Daniels,63.0,40,40,1.0
2025_02_CAR_ARI,2,ARI,00-0035228,K.Murray,457.0,30,30,1.0
2025_02_ATL_MIN,2,ATL,00-0039917,M.Penix,176.0,25,25,1.0
2025_02_CLE_BAL,2,BAL,00-0034796,L.Jackson,285.0,33,36,0.9167
2025_02_BUF_NYJ,2,BUF,00-0034857,J.Allen,194.0,30,35,0.8571
2025_02_CAR_ARI,2,CAR,00-0039150,B.Young,62.0,60,60,1.0
2025_02_CHI_DET,2,CHI,00-0039918,C.Williams,254.0,36,40,0.9
2025_02_JAX_CIN,2,CIN,00-0036442,J.Burrow,358.0,15,48,0.3125
2025_02_CLE_BAL,2,CLE,00-0026158,J.Flacco,63.0,48,51,0.9412
2025_02_NYG_DAL,2,DAL,00-0033077,D.Prescott,604.0,57,57,1.0
2025_02_DEN_IND,2,DEN,00-0039732,B.Nix,392.0,32,32,1.0
2025_02_CHI_DET,2,DET,00-0033106,J.Goff,67.0,29,29,1.0
2025_02_WAS_GB,2,GB,00-0036264,J.Love,107.0,36,36,1.0
2025_02_TB_HOU,2,HOU,00-0039163,C.Stroud,67.0,32,32,1.0
2025_02_DEN_IND,2,IND,00-0035710,D.Jones,84.0,38,38,1.0
2025_02_JAX_CIN,2,JAX,00-0036971,T.Lawrence,63.0,44,44,1.0
2025_02_PHI_KC,2,KC,00-0033873,P.Mahomes,324.0,38,38,1.0
2025_02_LA_TEN,2,LA,00-0026498,M.Stafford,281.0,36,36,1.0
2025_02_LAC_LV,2,LAC,00-0036355,J.Herbert,102.0,34,34,1.0
2025_02_LAC_LV,2,LV,00-0030565,G.Smith,65.0,48,48,1.0
2025_02_NE_MIA,2,MIA,00-0036212,T.Tagovailoa,422.0,37,37,1.0
2025_02_ATL_MIN,2,MIN,00-0039923,J.McCarthy,277.0,30,30,1.0
2025_02_NE_MIA,2,NE,00-0039851,D.Maye,129.0,33,33,1.0
2025_02_SF_NO,2,NO,00-0039376,S.Rattler,116.0,40,40,1.0
2025_02_NYG_DAL,2,NYG,00-0029263,R.Wilson,97.0,45,45,1.0
2025_02_BUF_NYJ,2,NYJ,00-0036945,J.Fields,118.0,15,31,0.4839
2025_02_PHI_KC,2,PHI,00-0036389,J.Hurts,62.0,27,27,1.0
2025_02_SEA_PIT,2,PIT,00-0023459,A.Rodgers,302.0,38,40,0.95
2025_02_SEA_PIT,2,SEA,00-0034869,S.Darnold,85.0,35,35,1.0
2025_02_SF_NO,2,SF,00-0036972,M.Jones,246.0,46,46,1.0
2025_02_TB_HOU,2,TB,00-0034855,B.Mayfield,272.0,46,46,1.0
2025_02_LA_TEN,2,TEN,00-0040676,C.Ward,69.0,41,41,1.0
2025_02_WAS_GB,2,WAS,00-0039910,J.Daniels,395.0,53,53,1.0
2025_03_ARI_SF,3,ARI,00-0035228,K.Murray,63.0,40,40,1.0
2025_03_ATL_CAR,3,ATL,00-0039917,M.Penix,63.0,38,45,0.8444
2025_03_DET_BAL,3,BAL,00-0034796,L.Jackson,374.0,38,39,0.9744
2025_03_MIA_BUF,3,BUF,00-0034857,J.Allen,463.0,32,32,1.0
2025_03_ATL_CAR,3,CAR,00-0039150,B.Young,333.0,27,28,0.9643
2025_03_DAL_CHI,3,CHI,00-0039918,C.Williams,63.0,31,31,1.0
2025_03_CIN_MIN,3,CIN,00-0035100,J.Browning,312.0,30,31,0.9677
2025_03_GB_CLE,3,CLE,00-0026158,J.Flacco,85.0,38,38,1.0
2025_03_DAL_CHI,3,DAL,00-0033077,D.Prescott,407.0,43,48,0.8958
2025_03_DEN_LAC,3,DEN,00-0039732,B.Nix,321.0,33,33,1.0
2025_03_DET_BAL,3,DET,00-0033106,J.Goff,86.0,30,30,1.0
2025_03_GB_CLE,3,GB,00-0036264,J.Love,283.0,32,32,1.0
2025_03_HOU_JAX,3,HOU,00-0039163,C.Stroud,58.0,44,44,1.0
2025_03_IND_TEN,3,IND,00-0035710,D.Jones,328.0,27,30,0.9
2025_03_HOU_JAX,3,JAX,00-0036971,T.Lawrence,197.0,44,44,1.0
2025_03_KC_NYG,3,KC,00-0033873,P.Mahomes,294.0,44,44,1.0
2025_03_LA_PHI,3,LA,00-0026498,M.Stafford,85.0,34,35,0.9714
