team,starter_player_id,starter_player_name,inferred_starts,starter_identified_qb_plays,team_identified_qb_plays,first_week_as_starter,last_week_as_starter,starter_identified_qb_play_share
ARI,00-0033119,J.Brissett,12,554,557,6,18,0.9946
ARI,00-0035228,K.Murray,5,194,195,1,5,0.9949
ATL,00-0039917,M.Penix,9,310,331,1,11,0.9366
ATL,00-0029604,K.Cousins,8,271,271,8,18,1.0
BAL,00-0034796,L.Jackson,13,379,412,1,18,0.9199
BAL,00-0035993,T.Huntley,2,50,50,8,17,1.0
BAL,00-0033662,C.Rush,2,40,61,5,6,0.6557
BUF,00-0034857,J.Allen,16,573,583,1,17,0.9828
BUF,00-0033869,M.Trubisky,1,36,36,18,18,1.0
CAR,00-0039150,B.Young,16,556,573,1,18,0.9703
CAR,00-0027973,A.Dalton,1,32,32,8,8,1.0
CHI,00-0039918,C.Williams,17,650,657,1,18,0.9893
CIN,00-0036442,J.Burrow,8,287,330,1,18,0.8697
CIN,00-0026158,J.Flacco,6,267,268,6,12,0.9963
CIN,00-0035100,J.Browning,3,105,106,3,5,0.9906
CLE,00-0040668,S.Sanders,7,234,238,12,18,0.9832
CLE,00-0040704,D.Gabriel,6,211,233,5,11,0.9056
CLE,00-0026158,J.Flacco,4,172,176,1,4,0.9773
DAL,00-0033077,D.Prescott,17,676,703,1,18,0.9616
DEN,00-0039732,B.Nix,17,692,695,1,18,0.9957
DET,00-0033106,J.Goff,17,629,637,1,18,0.9874
GB,00-0036264,J.Love,15,499,522,1,16,0.9559
GB,00-0038128,M.Willis,1,28,33,17,17,0.8485
GB,00-0038582,C.Tune,1,18,18,18,18,1.0
HOU,00-0039163,C.Stroud,14,484,534,1,18,0.9064
HOU,00-0036898,D.Mills,3,129,130,10,12,0.9923
IND,00-0035710,D.Jones,13,440,481,1,14,0.9148
IND,00-0022942,P.Rivers,3,98,100,15,17,0.98
IND,00-0040206,R.Leonard,1,37,38,18,18,0.9737
JAX,00-0036971,T.Lawrence,17,654,669,1,18,0.9776
KC,00-0033873,P.Mahomes,14,599,609,1,15,0.9836
KC,00-0037324,C.Oladokun,2,45,65,17,18,0.6923
KC,00-0035289,G.Minshew,1,9,31,16,16,0.2903
LA,00-0026498,M.Stafford,17,644,654,1,18,0.9847
LAC,00-0036355,J.Herbert,16,625,644,1,17,0.9705
LAC,00-0037012,T.Lance,1,53,53,18,18,1.0
LV,00-0030565,G.Smith,15,529,548,1,17,0.9653
LV,00-0038102,K.Pickett,2,37,61,15,18,0.6066
MIA,00-0036212,T.Tagovailoa,14,432,455,1,15,0.9495
MIA,00-0040234,Q.Ewers,3,86,88,16,18,0.9773
MIN,00-0039923,J.McCarthy,10,299,322,1,18,0.9286
MIN,00-0032950,C.Wentz,5,198,208,3,8,0.9519
MIN,00-0040494,M.Brosmer,2,60,60,13,17,1.0
NE,00-0039851,D.Maye,17,623,644,1,18,0.9674
NO,00-0040743,T.Shough,9,349,355,9,18,0.9831
NO,00-0039376,S.Rattler,8,291,330,1,8,0.8818
NYG,00-0040691,J.Dart,12,420,437,4,18,0.9611
NYG,00-0029263,R.Wilson,3,127,128,1,3,0.9922
NYG,00-0031503,J.Winston,2,71,72,11,12,0.9861
NYJ,00-0036945,J.Fields,9,267,313,1,11,0.853
NYJ,00-0040398,B.Cook,4,144,145,15,18,0.9931
NYJ,00-0028118,T.Taylor,4,128,164,3,14,0.7805
PHI,00-0036389,J.Hurts,16,539,548,1,17,0.9836
PHI,00-0038400,T.McKee,1,45,45,18,18,1.0
PIT,00-0023459,A.Rodgers,16,549,574,1,18,0.9564
PIT,00-0034771,M.Rudolph,1,34,34,12,12,1.0
SEA,00-0034869,S.Darnold,17,533,541,1,18,0.9852
SF,00-0037834,B.Purdy,9,320,328,1,18,0.9756
SF,00-0036972,M.Jones,8,322,323,2,10,0.9969
TB,00-0034855,B.Mayfield,17,635,655,1,18,0.9695
TEN,00-0040676,C.Ward,17,624,655,1,18,0.9527
WAS,00-0032268,M.Mariota,8,251,261,3,16,0.9617
WAS,00-0039910,J.Daniels,7,250,269,1,14,0.9294
WAS,00-0026300,J.Johnson,2,55,56,17,18,0.9821
